Tracker,Name
1,Aaron Gordon
2,Aaron Nesmith
3,Al Horford
4,Alex Caruso
5,Alperen Sengun
6,Andrew Nembhard
7,Andrew Wiggins
8,Anfernee Simons
9,Anthony Davis
10,Anthony Edwards
11,Austin Reaves
12,Ayo Dosunmu
13,Bam Adebayo
14,Bennedict Mathurin
15,Bobby Portis
16,Bogdan Bogdanovic
17,Bojan Bogdanovic
18,Bol Bol
19,Bradley Beal
20,Brandon Ingram
21,Brook Lopez
22,Bruce Brown
23,Buddy Hield
24,CJ McCollum
25,Caleb Martin
26,Caris LeVert
27,Cedi Osman
28,Chris Boucher
29,Chris Paul
30,Christian Wood
31,Clint Capela
32,Coby White
33,Cole Anthony
34,Corey Kispert
35,D'Angelo Russell
36,Damian Lillard
37,Damion Lee
38,Daniel Gafford
39,Darius Garland
40,Davion Mitchell
41,De'Aaron Fox
42,De'Andre Hunter
43,De'Anthony Melton
44,DeMar DeRozan
45,Deandre Ayton
46,Dejounte Murray
47,Deni Avdija
48,Dennis Schroder
49,Derrick White
50,Desmond Bane
51,Devin Booker
52,Dillon Brooks
53,Domantas Sabonis
54,Donovan Mitchell
55,Donte DiVincenzo
56,Dorian Finney-Smith
57,Draymond Green
58,Drew Eubanks
59,Eric Gordon
60,Evan Mobley
61,Franz Wagner
62,Fred VanVleet
63,Gabe Vincent
64,Gary Trent Jr.
65,Georges Niang
66,Giannis Antetokounmpo
67,Gordon Hayward
68,Grant Williams
69,Grayson Allen
70,Harrison Barnes
71,Herbert Jones
72,Immanuel Quickley
73,Isaac Okoro
74,Isaiah Hartenstein
75,Ivica Zubac
76,Ja Morant
77,Jabari Smith Jr.
78,Jaden Ivey
79,Jaden McDaniels
80,Jakob Poeltl
81,Jalen Brunson
82,Jalen Duren
83,Jalen Green
84,Jalen McDaniels
85,Jalen Williams
86,Jamal Murray
87,James Harden
88,Jaren Jackson Jr.
89,Jarred Vanderbilt
90,Jarrett Allen
91,Jaylen Brown
92,Jayson Tatum
93,Jerami Grant
94,Jevon Carter
95,Jimmy Butler
96,Joe Harris
97,Joel Embiid
98,John Collins
99,John Konchar
100,Jonas Valanciunas
101,Jordan Clarkson
102,Jordan Poole
103,Josh Giddey
104,Josh Green
105,Josh Hart
106,Josh Okogie
107,Josh Richardson
108,Jrue Holiday
109,Julius Randle
110,Kawhi Leonard
111,Keegan Murray
112,Keldon Johnson
113,Kelly Olynyk
114,Kelly Oubre Jr.
115,Kentavious Caldwell-Pope
116,Kenyon Martin Jr.
117,Kevin Durant
118,Kevin Huerter
119,Kevin Love
120,Kevin Porter Jr.
121,Kevon Looney
122,Killian Hayes
123,Klay Thompson
124,Kristaps Porzingis
125,Kyle Anderson
126,Kyle Kuzma
127,Kyle Lowry
128,Kyrie Irving
129,Lauri Markkanen
130,LeBron James
131,Luguentz Dort
132,Luka Doncic
133,Malaki Branham
134,Malcolm Brogdon
135,Malik Beasley
136,Malik Monk
137,Marcus Morris Sr.
138,Marcus Smart
139,Markelle Fultz
140,Mason Plumlee
141,Max Strus
142,Michael Porter Jr.
143,Mikal Bridges
144,Mike Conley
145,Mitchell Robinson
146,Monte Morris
147,Myles Turner
148,Naji Marshall
149,Nic Claxton
150,Nicolas Batum
151,Nikola Jokic
152,Nikola Vucevic
153,Norman Powell
154,O.G. Anunoby
155,Onyeka Okongwu
156,P.J. Tucker
157,P.J. Washington
158,Paolo Banchero
159,Pascal Siakam
160,Pat Connaughton
161,Patrick Beverley
162,Patrick Williams
163,Paul George
164,Quentin Grimes
165,RJ Barrett
166,Reggie Bullock
167,Reggie Jackson
168,Royce O'Neale
169,Rudy Gobert
170,Rui Hachimura
171,Russell Westbrook
172,Saddiq Bey
173,Santi Aldama
174,Scottie Barnes
175,Shaedon Sharpe
176,Shai Gilgeous-Alexander
177,Shake Milton
178,Spencer Dinwiddie
179,Stephen Curry
180,T.J. McConnell
181,Tari Eason
182,Terance Mann
183,Terry Rozier
184,Tim Hardaway Jr.
185,Tobias Harris
186,Torrey Craig
187,Trae Young
188,Tre Jones
189,Trey Murphy III
190,Troy Brown Jr.
191,Tyler Herro
192,Tyrese Haliburton
193,Tyrese Maxey
194,Tyus Jones
195,Walker Kessler
196,Wendell Carter Jr.
197,Zach LaVine
