id,name,posessions,minutes
[8318],Aaron Gordon,5715,2768
[8141],Aaron Nesmith,3874,1816
[5848],Al Horford,5234,2539
[2426],Alex Caruso,3274,1575
[3593],Alperen Sengun,4522,2171
[4318],Andrew Nembhard,4439,2073
[5788],Andrew Wiggins,3527,1632
[4475],Anfernee Simons,4488,2171
[6412],Anthony Davis,5327,2512
[2909],Anthony Edwards,6418,3041
[8231],Austin Reaves,5167,2422
[2892],Ayo Dosunmu,4405,2098
[4220],Bam Adebayo,6933,3448
[5820],Bennedict Mathurin,4780,2222
[9054],Bobby Portis,4103,1925
[5223],Bogdan Bogdanovic,3514,1665
[1869],Bojan Bogdanovic,3990,1893
[3072],Bol Bol,3165,1505
[2713],Bradley Beal,3414,1673
[1388],Brandon Ingram,3168,1538
[7397],Brook Lopez,5475,2555
[2270],Bruce Brown,5766,2810
[4309],Buddy Hield,5277,2482
[9164],CJ McCollum,5497,2649
[2770],Caleb Martin,5599,2771
[8422],Caris LeVert,4880,2407
[4974],Cedi Osman,3332,1641
[1169],Chris Boucher,3125,1523
[1205],Chris Paul,4358,2139
[8954],Christian Wood,3518,1738
[9599],Clint Capela,4036,1881
[6741],Coby White,3640,1730
[2694],Cole Anthony,3230,1552
[4398],Corey Kispert,4370,2093
[4050],D'Angelo Russell,5848,2777
[3375],Damian Lillard,4380,2107
[5926],Damion Lee,3353,1595
[1655],Daniel Gafford,3338,1604
[6364],Darius Garland,5317,2636
[8810],Davion Mitchell,3388,1587
[5082],De'Aaron Fox,5829,2705
[6126],De'Andre Hunter,5026,2350
[2275],De'Anthony Melton,4918,2424
[6688],DeMar DeRozan,5577,2682
[9567],Deandre Ayton,4842,2354
[1729],Dejounte Murray,6111,2883
[2805],Deni Avdija,4198,2020
[2951],Dennis Schroder,5078,2403
[7798],Derrick White,6019,2912
[3940],Desmond Bane,4448,2072
[8938],Devin Booker,4744,2294
[5891],Dillon Brooks,5051,2381
[8678],Domantas Sabonis,6254,2979
[6502],Donovan Mitchell,5302,2639
[1506],Donte DiVincenzo,4626,2129
[3393],Dorian Finney-Smith,4251,2110
[3706],Draymond Green,5768,2664
[8434],Drew Eubanks,3311,1584
[4072],Eric Gordon,4498,2114
[7150],Evan Mobley,5852,2903
[9827],Franz Wagner,5497,2609
[2618],Fred VanVleet,5188,2535
[9974],Gabe Vincent,4946,2431
[9535],Gary Trent Jr.,4408,2118
[7131],Georges Niang,3475,1669
[6708],Giannis Antetokounmpo,4574,2115
[6767],Gordon Hayward,3384,1577
[1469],Grant Williams,4780,2310
[8964],Grayson Allen,4534,2121
[5125],Harrison Barnes,6075,2858
[4364],Herbert Jones,4036,1951
[8568],Immanuel Quickley,5134,2519
[8915],Isaac Okoro,3533,1727
[6915],Isaiah Hartenstein,3824,1846
[7698],Ivica Zubac,4721,2300
[9450],Ja Morant,4560,2135
[5121],Jabari Smith Jr.,5124,2451
[1251],Jaden Ivey,4824,2304
[7251],Jaden McDaniels,5094,2416
[9122],Jakob Poeltl,3992,1906
[6561],Jalen Brunson,5693,2822
[6684],Jalen Duren,3489,1670
[6646],Jalen Green,5456,2602
[8656],Jalen McDaniels,4282,2015
[6928],Jalen Williams,4906,2276
[7530],Jamal Murray,6004,2932
[8215],James Harden,5091,2562
[4224],Jaren Jackson Jr.,4310,2007
[3642],Jarred Vanderbilt,4492,2126
[2123],Jarrett Allen,4833,2411
[3369],Jaylen Brown,6542,3156
[2633],Jayson Tatum,7273,3531
[7704],Jerami Grant,4636,2246
[9557],Jevon Carter,3979,1859
[2986],Jimmy Butler,6056,3012
[1058],Joe Harris,3276,1571
[6127],Joel Embiid,5286,2620
[4687],John Collins,4907,2294
[5947],John Konchar,3305,1543
[9631],Jonas Valanciunas,4093,1968
[1824],Jordan Clarkson,4164,1988
[5917],Jordan Poole,5955,2742
[3989],Josh Giddey,5088,2367
[1305],Josh Green,3173,1539
[9297],Josh Hart,5752,2807
[4555],Josh Okogie,3196,1525
[1849],Josh Richardson,3276,1530
[3908],Jrue Holiday,5086,2374
[9768],Julius Randle,6218,3067
[8895],Kawhi Leonard,3760,1828
[8136],Keegan Murray,5451,2576
[2245],Keldon Johnson,4372,2063
[4589],Kelly Olynyk,4082,1942
[4689],Kelly Oubre Jr.,3287,1548
[1743],Kentavious Caldwell-Pope,6336,3052
[5630],Kenyon Martin Jr.,4848,2292
[1249],Kevin Durant,4410,2138
[1847],Kevin Huerter,5006,2386
[9824],Kevin Love,3298,1599
[6158],Kevin Porter Jr.,4208,2024
[4218],Kevon Looney,4890,2283
[4801],Killian Hayes,4498,2154
[6632],Klay Thompson,5934,2747
[9857],Kristaps Porzingis,4381,2120
[8848],Kyle Anderson,4359,2061
[5106],Kyle Kuzma,4683,2239
[5502],Kyle Lowry,4659,2317
[2110],Kyrie Irving,4597,2241
[8623],Lauri Markkanen,4786,2273
[4388],LeBron James,5487,2573
[1880],Luguentz Dort,4874,2272
[1103],Luka Doncic,4863,2391
[9753],Malaki Branham,3370,1550
[9095],Malcolm Brogdon,4593,2218
[3368],Malik Beasley,4649,2184
[3164],Malik Monk,4157,1924
[3593],Marcus Morris Sr.,3874,1893
[7455],Marcus Smart,5478,2636
[6665],Markelle Fultz,3750,1778
[1528],Mason Plumlee,4561,2145
[7920],Max Strus,5918,2920
[9478],Michael Porter Jr.,5078,2452
[2178],Mikal Bridges,6380,3120
[8066],Mike Conley,4597,2212
[8707],Mitchell Robinson,3802,1889
[5265],Monte Morris,3518,1695
[9350],Myles Turner,3848,1825
[2474],Naji Marshall,3774,1792
[4868],Nic Claxton,4890,2388
[4002],Nicolas Batum,3802,1801
[6079],Nikola Jokic,6435,3112
[4062],Nikola Vucevic,5681,2746
[8897],Norman Powell,3672,1734
[5730],O.G. Anunoby,4888,2386
[8929],Onyeka Okongwu,4198,1980
[9271],P.J. Tucker,4424,2214
[1158],P.J. Washington,5117,2380
[5905],Paolo Banchero,5096,2430
[3003],Pascal Siakam,5424,2652
[2225],Pat Connaughton,3300,1531
[6229],Patrick Beverley,3786,1816
[2409],Patrick Williams,4842,2323
[7531],Paul George,3977,1939
[6341],Quentin Grimes,4807,2363
[9014],RJ Barrett,5830,2852
[1270],Reggie Bullock,4789,2364
[5996],Reggie Jackson,3436,1675
[2649],Royce O'Neale,5168,2527
[1441],Rudy Gobert,4837,2325
[4295],Rui Hachimura,3939,1854
[6277],Russell Westbrook,5031,2318
[6904],Saddiq Bey,4830,2262
[4500],Santi Aldama,3824,1783
[1910],Scottie Barnes,5507,2678
[3778],Shaedon Sharpe,3743,1779
[2528],Shai Gilgeous-Alexander,5208,2416
[7703],Shake Milton,3353,1588
[5695],Spencer Dinwiddie,5768,2884
[1477],Stephen Curry,5300,2434
[2494],T.J. McConnell,3305,1526
[3111],Tari Eason,3753,1767
[5284],Terance Mann,4137,2005
[4356],Terry Rozier,4714,2221
[2045],Tim Hardaway Jr.,4367,2152
[3328],Tobias Harris,5657,2828
[8226],Torrey Craig,4428,2131
[4911],Trae Young,6020,2771
[8173],Tre Jones,4249,1984
[5682],Trey Murphy III,5132,2448
[5861],Troy Brown Jr.,4221,1984
[8749],Tyler Herro,4772,2356
[4467],Tyrese Haliburton,3980,1883
[5461],Tyrese Maxey,4918,2439
[1120],Tyus Jones,4386,2060
[3636],Walker Kessler,3600,1703
[5418],Wendell Carter Jr.,3527,1690
[6592],Zach LaVine,5749,2768
