offense_shortened,offense_decimal,defense_shortened,defense_decimal,total_shortened,total_decimal
[-2.0],[0.22882018999999998],[-2.0],[[0.22882018999999998]],[-2.0],[0.22882018999999998]
[0.0],[0.416278908],[0.0],[[0.416278908]],[0.0],[0.416278908]
[-2.0],[0.720860236],[-2.0],[[0.720860236]],[-2.0],[0.720860236]
[-2.0],[0.989304333],[-2.0],[[0.989304333]],[-2.0],[0.989304333]
[-1.0],[0.09290496999999998],[-1.0],[[0.09290496999999998]],[-1.0],[0.09290496999999998]
[-1.0],[0.696169669],[-1.0],[[0.696169669]],[-1.0],[0.696169669]
[0.0],[0.071087801],[0.0],[[0.071087801]],[0.0],[0.071087801]
[-1.0],[0.545783024],[-1.0],[[0.545783024]],[-1.0],[0.545783024]
[-1.0],[0.896434153],[-1.0],[[0.896434153]],[-1.0],[0.896434153]
[0.0],[0.271534191],[0.0],[[0.271534191]],[0.0],[0.271534191]
[3.0],[0.4023926860000002],[3.0],[[0.4023926860000002]],[3.0],[0.4023926860000002]
[-7.0],[0.2218223720000001],[-7.0],[[0.2218223720000001]],[-7.0],[0.2218223720000001]
[2.0],[0.03686677299999985],[2.0],[[0.03686677299999985]],[2.0],[0.03686677299999985]
[-1.0],[0.21047260700000003],[-1.0],[[0.21047260700000003]],[-1.0],[0.21047260700000003]
[-9.0],[0.6950994720000008],[-9.0],[[0.6950994720000008]],[-9.0],[0.6950994720000008]
[-2.0],[0.23797859100000007],[-2.0],[[0.23797859100000007]],[-2.0],[0.23797859100000007]
[-3.0],[0.5923735350000001],[-3.0],[[0.5923735350000001]],[-3.0],[0.5923735350000001]
[-6.0],[0.5159041780000004],[-6.0],[[0.5159041780000004]],[-6.0],[0.5159041780000004]
[-2.0],[0.12429614100000008],[-2.0],[[0.12429614100000008]],[-2.0],[0.12429614100000008]
[-4.0],[0.6362313799999999],[-4.0],[[0.6362313799999999]],[-4.0],[0.6362313799999999]
[2.0],[0.2213532749999998],[2.0],[[0.2213532749999998]],[2.0],[0.2213532749999998]
[-1.0],[0.12436459799999999],[-1.0],[[0.12436459799999999]],[-1.0],[0.12436459799999999]
[-2.0],[0.602048629],[-2.0],[[0.602048629]],[-2.0],[0.602048629]
[3.0],[0.271208299],[3.0],[[0.271208299]],[3.0],[0.271208299]
