player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Precious Achiuwa,2328,1140,-1.77117981,-0.283672608,-2.054852418
Steven Adams,2391,1133,0.416278908,3.550985038,3.967263946
Bam Adebayo,6933,3448,-1.279139764,2.528053482,1.248913718
Ochai Agbaji,2604,1209,-1.010695667,-1.964926572,-2.97562224
Santi Aldama,3824,1783,-0.90709503,-0.675486857,-1.582581887
Nickeil Alexander-Walker,2185,1032,-0.303830331,3.986873712,3.68304338
Grayson Allen,4534,2121,0.071087801,0.050969702,0.122057504
Jarrett Allen,4833,2411,-0.454216976,1.668787167,1.214570191
Jose Alvarado,2778,1310,-0.103565847,1.865416284,1.761850437
Kyle Anderson,4359,2061,0.271534191,1.148606958,1.420141149
Giannis Antetokounmpo,4574,2115,3.402392686,1.978272754,5.38066544
Thanasis Antetokounmpo,460,211,-6.778177628,-5.231934086,-12.01011171
Cole Anthony,3230,1552,2.036866773,-0.463140241,1.573726531
O.G. Anunoby,4888,2386,-0.789527393,2.196114879,1.406587486
Ryan Arcidiacono,375,172,-8.304900528,3.438595943,-4.866304585
Deni Avdija,4198,2020,-1.762021409,0.791316195,-0.970705213
Deandre Ayton,4842,2354,-2.407626465,-0.320287089,-2.727913554
Udoka Azubuike,785,359,-5.484095822,0.467055457,-5.017040365
Marvin Bagley III,2066,990,-1.875703859,0.522569154,-1.353134705
Patrick Baldwin Jr.,507,237,-3.36376862,-1.996714399,-5.360483019
LaMelo Ball,2757,1268,2.221353275,-0.981727699,1.239625576
Mo Bamba,1613,779,-0.875635402,-0.723070125,-1.598705527
Paolo Banchero,5096,2430,-1.397951371,-1.690712842,-3.088664213
Desmond Bane,4448,2072,3.271208299,0.012677992,3.283886291
Dalano Banton,588,279,-1.748278141,-1.453927311,-3.202205452
Dominick Barlow,893,408,-2.376548158,0.327149913,-2.049398245
Harrison Barnes,6075,2858,0.577518807,0.442542379,1.020061186
Scottie Barnes,5507,2678,0.143331665,0.498606539,0.641938204
RJ Barrett,5830,2852,-0.65627312,-2.552780297,-3.209053417
Will Barton,2072,993,-2.436231013,-3.596900912,-6.033131925
Charles Bassey,1093,508,-1.70934063,0.825868465,-0.883472165
Keita Bates-Diop,3121,1452,-1.289113329,0.105893458,-1.183219871
Nicolas Batum,3802,1801,-0.715201399,0.578429234,-0.136772165
Darius Bazley,1308,616,-3.744034353,3.002865421,-0.741168932
Bradley Beal,3414,1673,2.536572124,-1.339510192,1.197061932
Malik Beasley,4649,2184,-0.05628455,-1.72512206,-1.781406609
MarJon Beauchamp,1516,706,-3.702568513,-1.883886286,-5.5864548
Davis Bertans,1028,492,-0.305669374,-0.864323617,-1.169992991
Patrick Beverley,3786,1816,-2.659123207,0.232681311,-2.426441896
Saddiq Bey,4830,2262,1.707711,-2.471299514,-0.763588514
Khem Birch,331,162,-5.984195086,-0.147133586,-6.131328672
Goga Bitadze,955,457,-0.255537312,2.238357757,1.982820445
Bismack Biyombo,1973,952,-3.55875656,0.67386533,-2.88489123
Buddy Boeheim,187,90,-2.220801729,-0.863222861,-3.084024589
Bogdan Bogdanovic,3514,1665,3.127454409,-0.610936599,2.51651781
Bojan Bogdanovic,3990,1893,2.014861381,-3.300906495,-1.286045115
