name,posessions,minutes,offense,defense,total
Precious Achiuwa,2328,1140,-2.0,-1.0,-3.0
Steven Adams,2391,1133,0.0,3.0,3.0
Bam Adebayo,6933,3448,-2.0,2.0,1.0
Ochai Agbaji,2604,1209,-2.0,-2.0,-3.0
Santi Aldama,3824,1783,-1.0,-1.0,-2.0
Nickeil Alexander-Walker,2185,1032,-1.0,3.0,3.0
Grayson Allen,4534,2121,0.0,0.0,0.0
Jarrett Allen,4833,2411,-1.0,1.0,1.0
Jose Alvarado,2778,1310,-1.0,1.0,1.0
Kyle Anderson,4359,2061,0.0,1.0,1.0
Giannis Antetokounmpo,4574,2115,3.0,1.0,5.0
Thanasis Antetokounmpo,460,211,-7.0,-6.0,-13.0
Cole Anthony,3230,1552,2.0,-1.0,1.0
O.G. Anunoby,4888,2386,-1.0,2.0,1.0
Ryan Arcidiacono,375,172,-9.0,3.0,-5.0
Deni Avdija,4198,2020,-2.0,0.0,-1.0
Deandre Ayton,4842,2354,-3.0,-1.0,-3.0
Udoka Azubuike,785,359,-6.0,0.0,-6.0
Marvin Bagley III,2066,990,-2.0,0.0,-2.0
Patrick Baldwin Jr.,507,237,-4.0,-2.0,-6.0
LaMelo Ball,2757,1268,2.0,-1.0,1.0
Mo Bamba,1613,779,-1.0,-1.0,-2.0
Paolo Banchero,5096,2430,-2.0,-2.0,-4.0
Desmond Bane,4448,2072,3.0,0.0,3.0
Dalano Banton,588,279,-2.0,-2.0,-4.0
Dominick Barlow,893,408,-3.0,0.0,-3.0
Harrison Barnes,6075,2858,0.0,0.0,1.0
Scottie Barnes,5507,2678,0.0,0.0,0.0
RJ Barrett,5830,2852,-1.0,-3.0,-4.0
Will Barton,2072,993,-3.0,-4.0,-7.0
Charles Bassey,1093,508,-2.0,0.0,-1.0
Keita Bates-Diop,3121,1452,-2.0,0.0,-2.0
Nicolas Batum,3802,1801,-1.0,0.0,-1.0
Darius Bazley,1308,616,-4.0,3.0,-1.0
Bradley Beal,3414,1673,2.0,-2.0,1.0
Malik Beasley,4649,2184,-1.0,-2.0,-2.0
MarJon Beauchamp,1516,706,-4.0,-2.0,-6.0
Davis Bertans,1028,492,-1.0,-1.0,-2.0
Patrick Beverley,3786,1816,-3.0,0.0,-3.0
Saddiq Bey,4830,2262,1.0,-3.0,-1.0
Khem Birch,331,162,-6.0,-1.0,-7.0
Goga Bitadze,955,457,-1.0,2.0,1.0
Bismack Biyombo,1973,952,-4.0,0.0,-3.0
Buddy Boeheim,187,90,-3.0,-1.0,-4.0
Bogdan Bogdanovic,3514,1665,3.0,-1.0,2.0
Bojan Bogdanovic,3990,1893,2.0,-4.0,-2.0
Bol Bol,3165,1505,-4.0,-2.0,-5.0
Leandro Bolmaro,147,68,-12.0,8.0,-3.0
Devin Booker,4744,2294,6.0,-1.0,5.0
Brandon Boston Jr.,531,249,0.0,-2.0,-2.0
Chris Boucher,3125,1523,-1.0,0.0,-1.0
James Bouknight,1097,515,-4.0,-2.0,-6.0
Jamaree Bouyea,138,71,-8.0,-1.0,-8.0
Tony Bradley,80,33,-2.0,-5.0,-6.0
Malaki Branham,3370,1550,-3.0,-4.0,-7.0
Jarrell Brantley,80,39,5.0,4.0,9.0
Christian Braun,2952,1428,-3.0,0.0,-2.0
Mikal Bridges,6380,3120,1.0,0.0,1.0
Oshae Brissett,2306,1083,-2.0,-1.0,-3.0
Malcolm Brogdon,4593,2218,2.0,-1.0,1.0
Dillon Brooks,5051,2381,-3.0,1.0,-1.0
Bruce Brown,5766,2810,-2.0,0.0,-1.0
Greg Brown III,203,93,-11.0,3.0,-7.0
Jaylen Brown,6542,3156,-1.0,0.0,0.0
Kendall Brown,98,40,-5.0,4.0,0.0
Moses Brown,623,294,1.0,2.0,3.0
Sterling Brown,60,24,-6.0,5.0,0.0
Troy Brown Jr.,4221,1984,-2.0,0.0,-2.0
Jalen Brunson,5693,2822,5.0,-1.0,4.0
Thomas Bryant,2301,1081,-1.0,-2.0,-3.0
Reggie Bullock,4789,2364,-3.0,-3.0,-5.0
Alec Burks,2413,1122,2.0,0.0,3.0
Deonte Burton,14,6,-2.0,-1.0,-2.0
Jared Butler,165,77,0.0,0.0,1.0
Jimmy Butler,6056,3012,5.0,0.0,6.0
John Butler Jr.,483,221,-7.0,-1.0,-8.0
Jamal Cain,514,240,1.0,1.0,2.0
Kentavious Caldwell-Pope,6336,3052,0.0,0.0,1.0
Facundo Campazzo,108,52,-8.0,11.0,4.0
Vlatko Cancar,1865,899,-2.0,-1.0,-3.0
Clint Capela,4036,1881,0.0,2.0,2.0
Vernon Carey Jr.,61,28,-12.0,5.0,-6.0
Jevon Carter,3979,1859,-2.0,0.0,-2.0
Michael Carter-Williams,90,44,-3.0,-12.0,-15.0
Wendell Carter Jr.,3527,1690,-2.0,1.0,0.0
Alex Caruso,3274,1575,-1.0,6.0,5.0
Justin Champagnie,88,44,4.0,-5.0,-1.0
Julian Champagnie,696,320,-1.0,-3.0,-4.0
Kennedy Chandler,605,281,-3.0,-4.0,-6.0
Josh Christopher,1642,786,-4.0,-4.0,-7.0
Max Christie,1176,545,-4.0,1.0,-2.0
Brandon Clarke,2362,1090,-1.0,0.0,-1.0
Jordan Clarkson,4164,1988,2.0,-3.0,-1.0
Nic Claxton,4890,2388,-1.0,2.0,1.0
Amir Coffey,1320,626,-4.0,-4.0,-7.0
John Collins,4907,2294,-3.0,-1.0,-3.0
Zach Collins,3124,1441,-2.0,1.0,0.0
Chance Comanche,45,21,-7.0,-18.0,-24.0
Mike Conley,4597,2212,2.0,-1.0,2.0
Pat Connaughton,3300,1531,-1.0,0.0,0.0
Xavier Cooks,285,126,-4.0,0.0,-4.0
Robert Covington,1659,791,-1.0,1.0,0.0
Torrey Craig,4428,2131,-2.0,-1.0,-2.0
Jae Crowder,832,381,0.0,1.0,1.0
